Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
cluster2,GO:0042402,cellular biogenic amine catabolic process,13/503,117/20876,4.996667054120274e-6,1.3859802662024093e-4,1.0682097737254621e-4,AT4G34050/AT1G51680/AT2G36880/AT3G56240/AT5G17990/AT5G54160/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G13520/AT5G24030/AT1G51800,13
cluster2,GO:0006595,polyamine metabolic process,9/503,54/20876,5.168692091477143e-6,1.4003549503653192e-4,1.0792887035569165e-4,AT4G34050/AT5G53120/AT1G51680/AT2G36880/AT3G56240/AT5G54160/AT3G13520/AT5G24030/AT4G34710,9
cluster2,GO:0009415,response to water,27/503,426/20876,5.4586678756208035e-6,1.4453063807041446e-4,1.1139338990202262e-4,AT2G38530/AT5G49630/AT1G02930/AT5G20830/AT5G06530/AT1G44170/AT5G39610/AT4G38410/AT5G59320/AT5G15960/AT2G30550/AT2G01830/AT1G22190/AT1G54100/AT3G20300/AT5G10230/AT3G23250/AT2G41540/AT4G34710/AT4G24190/AT5G67340/AT5G51640/AT4G24020/AT5G13330/AT2G44060/AT5G13750/AT1G32940,27
cluster2,GO:0009963,positive regulation of flavonoid biosynthetic process,12/503,103/20876,7.037631325634812e-6,1.8219645543032345e-4,1.4042338060272502e-4,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT3G44720/AT5G65870/AT1G60710/AT3G18280/AT1G61660/AT4G05590,12
cluster2,GO:0009698,phenylpropanoid metabolic process,16/503,183/20876,9.740979671515902e-6,2.467008982025223e-4,1.9013857345087106e-4,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT2G36880/AT4G30210/AT3G56240/AT5G54160/AT3G13520/AT1G60710/AT1G04220/AT5G24030/AT5G64120/AT1G76470/AT1G33030/AT3G44540,16
cluster2,GO:0009267,cellular response to starvation,21/503,294/20876,1.0214154398893042e-5,2.5318063563213605e-4,1.9513266970337662e-4,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0043069,negative regulation of programmed cell death,15/503,168/20876,1.4316395721079834e-5,3.4747085448037513e-4,2.678045076772171e-4,AT5G13490/AT5G47910/AT5G45110/AT5G50200/AT5G06860/AT5G01540/AT4G21390/AT4G16760/AT4G21120/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT4G20830/AT1G77380,15
cluster2,GO:0042594,response to starvation,21/503,302/20876,1.5329949394471227e-5,3.644773682563057e-4,2.8091185463982723e-4,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0042742,defense response to bacterium,25/503,402/20876,1.6713711162292762e-5,3.894294700814214e-4,3.001430657144364e-4,AT5G53120/AT3G47380/AT2G19190/AT2G23150/AT1G02930/AT5G17990/AT1G02920/AT4G11650/AT3G04720/AT5G45110/AT3G28940/AT5G67330/AT2G38860/AT2G45220/AT5G59890/AT2G01830/AT1G13440/AT1G18570/AT4G03960/AT5G01540/AT3G44670/AT2G25110/AT1G05010/AT4G23190/AT5G46180,25
cluster2,GO:0009723,response to ethylene,23/503,353/20876,1.7404976198225152e-5,3.975842602143589e-4,3.0642816712251925e-4,AT4G19690/AT5G56080/AT3G04720/AT5G39610/AT2G38860/AT5G25190/AT2G43000/AT5G03730/AT1G18570/AT1G54100/AT5G38900/AT3G54150/AT1G28190/AT3G23250/AT4G34710/AT5G19880/AT3G12500/AT5G51640/AT5G60360/AT5G25940/AT5G13330/AT1G31930/AT4G37370,23
cluster2,GO:0060548,negative regulation of cell death,15/503,172/20876,1.8952909886554208e-5,4.246180772660702e-4,3.2726380836499473e-4,AT5G13490/AT5G47910/AT5G45110/AT5G50200/AT5G06860/AT5G01540/AT4G21390/AT4G16760/AT4G21120/AT5G64120/AT3G06110/AT5G67340/AT5G25440/AT4G20830/AT1G77380,15
cluster2,GO:0007568,aging,14/503,154/20876,2.246383570894457e-5,4.93780539640008e-4,3.805690538178693e-4,AT3G56240/AT1G11190/AT5G39610/AT2G38860/AT2G43000/AT5G13170/AT4G35890/AT3G51430/AT5G51640/AT5G60360/AT1G73220/AT3G04070/AT5G13330/AT5G46180,14
cluster2,GO:0031669,cellular response to nutrient levels,21/503,312/20876,2.4911452343100418e-5,5.374415181428145e-4,4.1421966566597776e-4,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0048878,chemical homeostasis,24/503,387/20876,2.572381335448099e-5,5.448771374176428e-4,4.1995048404540254e-4,AT5G10180/AT5G48930/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT5G47910/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G01830/AT2G26690/AT5G10580/AT3G11620/AT5G24030/AT3G59220/AT4G30110/AT1G05010/AT5G48410,24
cluster2,GO:0006873,cellular ion homeostasis,20/503,291/20876,2.877236688518219e-5,5.985679896649508e-4,4.6133137129812803e-4,AT5G10180/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G26690/AT5G10580/AT3G11620/AT5G24030/AT3G59220/AT1G05010/AT5G48410,20
cluster2,GO:0006598,polyamine catabolic process,7/503,38/20876,2.986220219872716e-5,5.998183717502955e-4,4.6229507215089414e-4,AT4G34050/AT1G51680/AT2G36880/AT3G56240/AT5G54160/AT3G13520/AT5G24030,7
cluster2,GO:0046482,para-aminobenzoic acid metabolic process,7/503,38/20876,2.986220219872716e-5,5.998183717502955e-4,4.6229507215089414e-4,AT2G36950/AT5G17380/AT5G64250/AT1G55850/AT1G23440/AT5G13330/AT4G22530,7
cluster2,GO:0009414,response to water deprivation,25/503,418/20876,3.199100714129395e-5,6.3168683592555e-4,4.868568972617974e-4,AT2G38530/AT5G49630/AT1G02930/AT5G20830/AT5G06530/AT1G44170/AT5G39610/AT5G59320/AT5G15960/AT2G30550/AT2G01830/AT1G22190/AT1G54100/AT3G20300/AT5G10230/AT3G23250/AT4G34710/AT4G24190/AT5G67340/AT5G51640/AT4G24020/AT5G13330/AT2G44060/AT5G13750/AT1G32940,25
cluster2,GO:0009751,response to salicylic acid,27/503,473/20876,3.517130161176046e-5,6.82909439628349e-4,5.263354434180995e-4,AT1G76930/AT5G63780/AT3G47380/AT2G19190/AT5G20830/AT3G43190/AT5G39890/AT5G45110/AT2G16060/AT1G21910/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT3G48920/AT5G13170/AT4G16760/AT1G28190/AT4G34710/AT5G64120/AT5G67340/AT1G05010/AT1G74650/AT5G13330/AT2G36890,27
cluster2,GO:0009753,response to jasmonic acid,27/503,474/20876,3.647371617229904e-5,6.965881859135799e-4,5.368779964619687e-4,AT1G76930/AT5G63780/AT3G47380/AT2G19190/AT5G45110/AT5G39610/AT1G21910/AT5G06860/AT1G33590/AT2G30550/AT3G50760/AT2G26690/AT1G47510/AT1G18570/AT5G01540/AT4G16760/AT1G28190/AT3G23250/AT4G34710/AT5G67340/AT5G51640/AT1G05010/AT5G13330/AT4G19810/AT4G24380/AT2G36890/AT1G61890,27
cluster2,GO:0009962,regulation of flavonoid biosynthetic process,12/503,122/20876,3.954053015042507e-5,7.42979316536213e-4,5.726328050647298e-4,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT3G44720/AT5G65870/AT1G60710/AT3G18280/AT1G61660/AT4G05590,12
cluster2,GO:0055082,cellular chemical homeostasis,20/503,300/20876,4.424471136876486e-5,8.181760118192231e-4,6.305887852557465e-4,AT5G10180/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G26690/AT5G10580/AT3G11620/AT5G24030/AT3G59220/AT1G05010/AT5G48410,20
cluster2,GO:0002252,immune effector process,19/503,280/20876,5.3853563129923464e-5,9.802306453792565e-4,7.554883582638408e-4,AT1G01040/AT2G23320/AT5G37680/AT1G15310/AT4G21390/AT1G51800/AT1G51820/AT3G23250/AT1G26420/AT5G64120/AT1G66160/AT4G20830/AT3G13790/AT2G42360/AT5G66070/AT5G64660/AT1G02360/AT4G22530/AT1G61360,19
cluster2,GO:0006979,response to oxidative stress,27/503,486/20876,5.587967537478311e-5,9.802306453792565e-4,7.554883582638408e-4,AT4G19690/AT1G49670/AT1G02930/AT3G56240/AT5G56080/AT1G09080/AT5G39610/AT2G32920/AT1G13440/AT4G21390/AT1G54100/AT1G73120/AT4G08230/AT2G25110/AT1G77510/AT4G34710/AT4G24190/AT3G06110/AT4G16660/ATMG01190/AT1G30070/AT4G23190/AT4G20830/AT2G02810/AT2G29500/AT3G62600/AT5G17000,27
cluster2,GO:0010150,leaf senescence,9/503,72/20876,5.6373779605502303e-5,9.802306453792565e-4,7.554883582638408e-4,AT1G11190/AT5G39610/AT2G38860/AT2G43000/AT5G13170/AT4G35890/AT3G51430/AT5G51640/AT1G73220,9
cluster2,GO:0090693,plant organ senescence,9/503,72/20876,5.6373779605502303e-5,9.802306453792565e-4,7.554883582638408e-4,AT1G11190/AT5G39610/AT2G38860/AT2G43000/AT5G13170/AT4G35890/AT3G51430/AT5G51640/AT1G73220,9
cluster2,GO:0030003,cellular cation homeostasis,19/503,282/20876,5.925311433112454e-5,0.0010151452675847073,7.823979338150037e-4,AT5G10180/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G26690/AT5G10580/AT3G11620/AT3G59220/AT1G05010/AT5G48410,19
cluster2,GO:0080167,response to karrikin,12/503,128/20876,6.345802592550465e-5,0.0010714289884523611,8.257772099840652e-4,AT1G25275/AT5G48540/AT3G44720/AT3G43800/AT1G33590/AT2G39980/AT4G34710/AT3G13790/AT1G61890/AT4G37370/AT5G13750/AT5G25460,12
cluster2,GO:0031667,response to nutrient levels,21/503,335/20876,6.99117646802724e-5,0.0011511770846360412,8.872410690711932e-4,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0043090,amino acid import,9/503,74/20876,7.015757339841967e-5,0.0011511770846360412,8.872410690711932e-4,AT5G13490/AT1G09560/AT5G50200/AT1G58360/AT3G02360/AT4G21120/AT2G42360/AT1G01010/AT1G77380,9
cluster2,GO:0006875,cellular metal ion homeostasis,15/503,195/20876,8.114457219880422e-5,0.001297237643231556,9.998136071167991e-4,AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT5G10580/AT3G59220/AT5G48410,15
cluster2,GO:0035690,cellular response to drug,23/503,390/20876,8.128613558446661e-5,0.001297237643231556,9.998136071167991e-4,AT5G63780/AT3G47380/AT4G19690/AT2G19190/AT5G56080/AT5G20830/AT3G43190/AT5G39890/AT5G45110/AT2G16060/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT5G13170/AT4G16760/AT1G28190/AT4G34710/AT5G64120/AT5G67340/AT1G05010,23
cluster2,GO:0009072,aromatic amino acid family metabolic process,17/503,242/20876,8.630033707848178e-5,0.0013586471986004227,0.0010471434925738972,AT2G36950/AT1G12050/AT5G17990/AT3G44720/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT5G17380/AT1G51800/AT5G64250/AT1G55850/AT1G23440/AT1G08250/AT5G13330/AT4G14910/AT4G22530,17
cluster2,GO:0019725,cellular homeostasis,20/503,317/20876,9.475347047397203e-5,0.0014524709618707555,0.0011194558215276752,AT5G10180/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G26690/AT5G10580/AT3G11620/AT5G24030/AT3G59220/AT1G05010/AT5G48410,20
cluster2,GO:0044550,secondary metabolite biosynthetic process,20/503,317/20876,9.475347047397203e-5,0.0014524709618707555,0.0011194558215276752,AT2G04160/AT5G10180/AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT2G31670/AT5G54160/AT3G13110/AT3G28940/AT2G38860/AT2G43000/AT1G60710/AT1G13440/AT1G18570/AT1G04220/AT1G76470/AT1G33030/AT3G44540,20
cluster2,GO:0050801,ion homeostasis,21/503,343/20876,9.759208012928318e-5,0.0014765554980599338,0.0011380183779942387,AT5G10180/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G26690/AT5G10580/AT3G11620/AT5G24030/AT3G59220/AT4G30110/AT1G05010/AT5G48410,21
cluster2,GO:0055080,cation homeostasis,20/503,319/20876,1.0320680374015245e-4,0.001541486235349713,0.0011880621267253719,AT5G10180/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT2G26690/AT5G10580/AT3G11620/AT3G59220/AT4G30110/AT1G05010/AT5G48410,20
cluster2,GO:0031668,cellular response to extracellular stimulus,21/503,349/20876,1.2433985519095473e-4,0.0018336193835121807,0.0014132164753881999,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0071496,cellular response to external stimulus,21/503,350/20876,1.2937903004952035e-4,0.00188408212509614,0.0014521093767400114,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0055065,metal ion homeostasis,16/503,227/20876,1.3300189625367202e-4,0.0019129285078460236,0.0014743420078542201,AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT5G10580/AT3G59220/AT4G30110/AT5G48410,16
cluster2,GO:0019439,aromatic compound catabolic process,26/503,488/20876,1.498031401951161e-4,0.0021283007113086618,0.0016403347700440828,AT4G34180/AT1G12050/AT1G23190/AT2G19570/AT5G17990/AT1G11190/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT1G54100/AT1G51800/AT1G06230/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT1G68830/AT2G02390/AT5G60360/AT2G44060,26
cluster2,GO:0071446,cellular response to salicylic acid stimulus,21/503,355/20876,1.5738511546793058e-4,0.002209080235182399,0.0017025935763366493,AT5G63780/AT3G47380/AT2G19190/AT5G20830/AT3G43190/AT5G39890/AT5G45110/AT2G16060/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT5G13170/AT4G16760/AT1G28190/AT4G34710/AT5G64120/AT5G67340/AT1G05010,21
cluster2,GO:0042592,homeostatic process,25/503,468/20876,1.919910885577971e-4,0.0026519748232385343,0.002043943550234895,AT5G10180/AT5G48930/AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT5G47910/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT5G40820/AT3G58810/AT2G01830/AT2G26690/AT5G10580/AT3G11620/AT5G24030/AT3G59220/AT4G30110/AT1G05010/AT5G48410,25
cluster2,GO:1901361,organic cyclic compound catabolic process,26/503,496/20876,1.934917253006656e-4,0.0026519748232385343,0.002043943550234895,AT4G34180/AT1G12050/AT1G23190/AT2G19570/AT5G17990/AT1G11190/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT1G54100/AT1G51800/AT1G06230/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT1G68830/AT2G02390/AT5G60360/AT2G44060,26
cluster2,GO:0042537,benzene-containing compound metabolic process,17/503,261/20876,2.1435491433624275e-4,0.0029037613395549162,0.002238001737194799,AT3G47380/AT2G19190/AT2G36950/AT3G07720/AT5G45110/AT5G17380/AT2G30550/AT1G18570/AT4G10500/AT5G64250/AT1G55850/AT1G23440/AT5G67340/AT5G25440/AT1G05010/AT5G13330/AT4G22530,17
cluster2,GO:0071236,cellular response to antibiotic,21/503,364/20876,2.2150300464969308e-4,0.002966103453067729,0.0022860503686169173,AT5G63780/AT3G47380/AT2G19190/AT5G20830/AT3G43190/AT5G39890/AT5G45110/AT2G16060/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT5G13170/AT4G16760/AT1G28190/AT4G34710/AT5G64120/AT5G67340/AT1G05010,21
cluster2,GO:0072525,pyridine-containing compound biosynthetic process,15/503,215/20876,2.3883266800232497e-4,0.0031618188434398703,0.0024368931316505167,AT4G34180/AT1G23190/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT1G16340/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT5G60360/AT2G44060/AT2G23420,15
cluster2,GO:0010583,response to cyclopentenone,12/503,148/20876,2.530548801821884e-4,0.003312459948452242,0.002552996011772995,AT4G18170/AT2G36950/AT3G43800/AT5G17380/AT2G29460/AT4G21120/AT1G74590/AT2G41380/AT1G30700/AT5G13330/AT3G26470/AT4G15610,12
cluster2,GO:0009813,flavonoid biosynthetic process,15/503,217/20876,2.639219459092572e-4,0.0034163229664920516,0.0026330458463227646,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT3G44720/AT5G65870/AT2G43000/AT1G60710/AT3G18280/AT1G04220/AT5G19730/AT1G61660/AT4G05590,15
cluster2,GO:0006835,dicarboxylic acid transport,4/503,14/20876,2.7509267295370107e-4,0.0035217908130885907,0.0027143325625159868,AT5G49630/AT4G21120/AT3G18440/AT1G08430,4
cluster2,GO:0006888,ER to Golgi vesicle-mediated transport,9/503,89/20876,2.9351138662521534e-4,0.0037167474501997376,0.0028645905353696646,AT5G13490/AT1G09560/AT5G50200/AT1G65820/AT3G02360/AT4G21120/AT1G27980/AT1G01010/AT1G77380,9
cluster2,GO:0009805,coumarin biosynthetic process,7/503,54/20876,3.0065123140677046e-4,0.003747376295153808,0.002888196954837315,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT1G60710,7
cluster2,GO:0009812,flavonoid metabolic process,16/503,244/20876,3.0236340922271067e-4,0.003747376295153808,0.002888196954837315,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT3G44720/AT5G65870/AT2G43000/AT2G01830/AT1G60710/AT3G18280/AT1G04220/AT5G19730/AT1G61660/AT4G05590,16
cluster2,GO:0009991,response to extracellular stimulus,21/503,373/20876,3.0756445530007463e-4,0.0037717114781535468,0.0029069526910910103,AT3G44320/AT4G19690/AT1G23020/AT2G18980/AT3G56980/AT1G08670/AT1G73010/AT2G30550/AT1G55920/AT3G58810/AT2G01830/AT5G10580/AT4G23180/AT3G59220/AT1G68740/AT1G69480/AT1G73220/AT4G31240/AT2G27190/AT4G08850/AT1G32940,21
cluster2,GO:0009804,coumarin metabolic process,7/503,55/20876,3.374418068599039e-4,0.004094996926997792,0.0031561168996874786,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT1G60710,7
cluster2,GO:0055076,transition metal ion homeostasis,13/503,176/20876,3.5429474183575695e-4,0.004255189425140792,0.0032795812781975116,AT4G19690/AT1G23020/AT2G23150/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT3G58810/AT5G10580/AT3G59220/AT4G30110,13
cluster2,GO:0044270,cellular nitrogen compound catabolic process,25/503,488/20876,3.6011145157337796e-4,0.0042633793919553365,0.003285893491156903,AT4G34180/AT1G12050/AT1G23190/AT2G19570/AT5G17990/AT1G11190/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT1G54100/AT1G51800/AT1G06230/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT1G68830/AT5G60360/AT2G44060,25
cluster2,GO:0098771,inorganic ion homeostasis,16/503,248/20876,3.6229575948805003e-4,0.0042633793919553365,0.003285893491156903,AT4G19690/AT1G23020/AT2G23150/AT1G23190/AT3G56240/AT2G18980/AT3G56980/AT1G08670/AT5G67330/AT3G51860/AT2G29120/AT3G58810/AT5G10580/AT3G59220/AT4G30110/AT5G48410,16
cluster2,GO:0042398,cellular modified amino acid biosynthetic process,7/503,56/20876,3.7775360404923363e-4,0.004400829487173572,0.0033918297289894346,AT4G34050/AT1G51680/AT2G36880/AT3G56240/AT5G54160/AT3G13520/AT5G24030,7
cluster2,GO:0046700,heterocycle catabolic process,25/503,490/20876,3.8254094777752856e-4,0.004412477268919018,0.0034008069666934013,AT4G34180/AT1G12050/AT1G23190/AT2G19570/AT5G17990/AT1G11190/AT1G78370/AT3G13110/AT3G28940/AT2G38860/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT1G54100/AT1G51800/AT1G06230/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT1G68830/AT5G60360/AT2G44060,25
cluster2,GO:0009863,salicylic acid mediated signaling pathway,20/503,353/20876,3.9171334628068167e-4,0.004473980866833276,0.003448209333100325,AT5G63780/AT3G47380/AT2G19190/AT5G20830/AT3G43190/AT5G39890/AT5G45110/AT2G16060/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT4G16760/AT1G28190/AT4G34710/AT5G64120/AT5G67340/AT1G05010,20
cluster2,GO:0006972,hyperosmotic response,16/503,250/20876,3.9592255866543395e-4,0.004478153212089617,0.0034514250642985714,AT4G34180/AT4G19690/AT5G39610/AT5G59320/AT2G43000/AT2G24200/AT1G13440/AT3G20300/AT3G23250/AT4G34710/AT4G24190/AT5G23540/AT5G67340/AT5G51640/AT5G60360/AT5G46180,16
cluster2,GO:0031348,negative regulation of defense response,17/503,277/20876,4.279799057347984e-4,0.004794197982510001,0.003695008700321691,AT5G63780/AT4G29140/AT3G47380/AT2G19190/AT5G45110/AT2G38860/AT5G06860/AT5G36880/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G08230/AT3G06110/AT5G67340/AT3G11880/AT1G05010,17
cluster2,GO:0006984,ER-nucleus signaling pathway,4/503,16/20876,4.813745341747961e-4,0.0053409650696536895,0.004116415816051139,AT4G08230/AT5G67340/AT1G72280/AT3G62600,4
cluster2,GO:0019363,pyridine nucleotide biosynthetic process,14/503,206/20876,4.96498943348625e-4,0.005456804424539133,0.0042056961139660095,AT4G34180/AT1G23190/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT5G60360/AT2G44060/AT2G23420,14
cluster2,GO:0009699,phenylpropanoid biosynthetic process,11/503,139/20876,5.568339332755349e-4,0.006062724600616806,0.004672693999842906,AT4G34050/AT3G21240/AT5G48930/AT1G51680/AT3G56240/AT5G54160/AT1G60710/AT1G04220/AT1G76470/AT1G33030/AT3G44540,11
cluster2,GO:1903509,liposaccharide metabolic process,10/503,118/20876,5.759250364992077e-4,0.00621252469927386,0.004788148695261444,AT5G20830/AT3G43190/AT1G73010/AT5G08380/AT2G30550/AT1G68740/AT1G16340/AT1G73220/AT4G31240/AT1G32940,10
cluster2,GO:0010260,animal organ senescence,5/503,29/20876,5.858914076081498e-4,0.006262050365720133,0.004826319369287801,AT5G39610/AT5G51640/AT3G04070/AT5G13330/AT5G46180,5
cluster2,GO:0071407,cellular response to organic cyclic compound,21/503,393/20876,6.09797110035647e-4,0.0064583057562866255,0.004977578324023032,AT5G63780/AT3G47380/AT2G19190/AT5G20830/AT3G43190/AT5G39890/AT5G45110/AT2G16060/AT5G06860/AT1G33590/AT2G30550/AT1G18570/AT5G01540/AT4G21390/AT5G13170/AT4G16760/AT1G28190/AT4G34710/AT5G64120/AT5G67340/AT1G05010,21
cluster2,GO:0015696,ammonium transport,5/503,31/20876,8.057253179219702e-4,0.008456486444856715,0.006517626327050171,AT5G13490/AT1G64780/AT5G50200/AT4G21120/AT1G77380,5
cluster2,GO:0006096,glycolytic process,13/503,196/20876,9.761696546509205e-4,0.009889023023202803,0.0076217182189220615,AT4G34180/AT1G23190/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT5G60360/AT2G44060,13
cluster2,GO:0006165,nucleoside diphosphate phosphorylation,13/503,196/20876,9.761696546509205e-4,0.009889023023202803,0.0076217182189220615,AT4G34180/AT1G23190/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT5G60360/AT2G44060,13
cluster2,GO:0006757,ATP generation from ADP,13/503,196/20876,9.761696546509205e-4,0.009889023023202803,0.0076217182189220615,AT4G34180/AT1G23190/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT5G60360/AT2G44060,13
cluster2,GO:0042866,pyruvate biosynthetic process,13/503,196/20876,9.761696546509205e-4,0.009889023023202803,0.0076217182189220615,AT4G34180/AT1G23190/AT3G52880/AT1G60710/AT2G24200/AT1G13440/AT5G67500/AT4G24190/AT5G23540/AT4G26270/AT1G54270/AT5G60360/AT2G44060,13
cluster9,GO:0071248,cellular response to metal ion,10/162,38/20876,2.346277630237785e-13,2.0928796461721043e-10,1.8424453812183029e-10,AT1G62380/AT3G53280/AT5G38820/AT3G12900/AT5G36890/AT1G49820/AT4G14030/AT4G19690/AT1G56160/AT1G02500,10
cluster9,GO:0071241,cellular response to inorganic substance,10/162,43/20876,9.205303729031144e-13,3.0681998582202926e-10,2.7010586431818955e-10,AT1G62380/AT3G53280/AT5G38820/AT3G12900/AT5G36890/AT1G49820/AT4G14030/AT4G19690/AT1G56160/AT1G02500,10
cluster9,GO:0071732,cellular response to nitric oxide,8/162,20/20876,1.2860296189041926e-12,3.0681998582202926e-10,2.7010586431818955e-10,AT1G62380/AT3G53280/AT5G38820/AT3G12900/AT5G36890/AT1G49820/AT4G19690/AT1G56160,8
